country_code,Year,indicator_name,indicator_code,value,percent
ABW,1960,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662,0.66
ABW,1961,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.074,0.66
ABW,1962,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.444,0.66
ABW,1963,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.787,0.67
ABW,1964,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.113,0.67
ABW,1965,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.435,0.67
ABW,1966,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.762,0.68
ABW,1967,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.095,0.68
ABW,1968,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.436,0.68
ABW,1969,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.784,0.69
ABW,1970,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.14,0.69
ABW,1971,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.498,0.69
ABW,1972,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.851,0.7
ABW,1973,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.191,0.7
ABW,1974,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.519,0.71
ABW,1975,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.833,0.71
ABW,1976,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.14,0.71
ABW,1977,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.441,0.71
ABW,1978,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.736,0.72
ABW,1979,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.023,0.72
ABW,1980,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.293,0.72
ABW,1981,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.538,0.73
ABW,1982,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.751,0.73
ABW,1983,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.929,0.73
ABW,1984,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.071,0.73
ABW,1985,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.181,0.73
ABW,1986,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.262,0.73
ABW,1987,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.325,0.73
ABW,1988,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.378,0.73
ABW,1989,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.425,0.73
ABW,1990,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.468,0.73
ABW,1991,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.509,0.74
ABW,1992,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.544,0.74
ABW,1993,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.573,0.74
ABW,1994,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.598,0.74
ABW,1995,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.622,0.74
ABW,1996,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.646,0.74
ABW,1997,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.671,0.74
ABW,1998,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.7,0.74
ABW,1999,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.738,0.74
ABW,2000,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.787,0.74
ABW,2001,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.853,0.74
ABW,2002,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.937,0.74
ABW,2003,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.038,0.74
ABW,2004,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.156,0.74
ABW,2005,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.287,0.74
ABW,2006,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.429,0.74
ABW,2007,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.576,0.75
ABW,2008,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.725,0.75
ABW,2009,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.872,0.75
ABW,2010,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.017,0.75
ABW,2011,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.158,0.75
ABW,2012,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.299,0.75
ABW,2013,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.441,0.75
ABW,2014,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.583,0.76
ABW,2015,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.725,0.76
ABW,2016,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.868,0.76
ABW,2017,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.01,0.76
ABW,2018,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.152,0.76
ABW,2019,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.293,0.76
AFE,1960,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.71605253,0.43
AFE,1961,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.16693507,0.43
AFE,1962,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.60399025,0.44
AFE,1963,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.0256167,0.44
AFE,1964,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.43272097,0.44
AFE,1965,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.82691851,0.45
AFE,1966,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.21304771,0.45
AFE,1967,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.59429412,0.46
AFE,1968,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.97405884,0.46
AFE,1969,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.3523989,0.46
AFE,1970,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.72879651,0.47
AFE,1971,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.10286632,0.47
AFE,1972,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.47116843,0.47
AFE,1973,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.8294031,0.48
AFE,1974,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.17499866,0.48
AFE,1975,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.5033109,0.49
AFE,1976,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.81083653,0.49
AFE,1977,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.09784958,0.49
AFE,1978,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.36632757,0.49
AFE,1979,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.6199972,0.5
AFE,1980,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.87069254,0.5
AFE,1981,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.11588584,0.5
AFE,1982,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.36345641,0.5
AFE,1983,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.61038491,0.51
AFE,1984,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.84833478,0.51
AFE,1985,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.05805709,0.51
AFE,1986,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.21428085,0.51
AFE,1987,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.29978085,0.51
AFE,1988,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.30859548,0.51
AFE,1989,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.25176311,0.51
AFE,1990,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.1541131,0.51
AFE,1991,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.04841383,0.51
AFE,1992,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.95726212,0.51
AFE,1993,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.8902461,0.51
AFE,1994,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.84186496,0.51
AFE,1995,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.8084844,0.51
AFE,1996,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.79615697,0.51
AFE,1997,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.82061357,0.51
AFE,1998,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.89760718,0.51
AFE,1999,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.04419133,0.51
AFE,2000,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.27612888,0.51
AFE,2001,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.60645828,0.52
AFE,2002,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.04314928,0.52
AFE,2003,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.5858534,0.53
AFE,2004,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.22891347,0.53
AFE,2005,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.96655013,0.54
AFE,2006,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.79170665,0.55
AFE,2007,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.6823435,0.56
AFE,2008,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.60979892,0.57
AFE,2009,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.54877186,0.58
AFE,2010,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.47069668,0.58
AFE,2011,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.35359492,0.59
AFE,2012,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.18556105,0.6
AFE,2013,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.95336296,0.61
AFE,2014,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.64736659,0.62
AFE,2015,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.25928837,0.62
AFE,2016,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.78768149,0.63
AFE,2017,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.24626353,0.63
AFE,2018,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.64898804,0.64
AFE,2019,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.00519747,0.64
AFE,2020,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.32691886,0.64
AFG,1960,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,0.32
AFG,1961,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.962,0.33
AFG,1962,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.471,0.33
AFG,1963,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.971,0.34
AFG,1964,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.463,0.34
AFG,1965,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.948,0.35
AFG,1966,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,35.43,0.35
AFG,1967,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,35.914,0.36
AFG,1968,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.403,0.36
AFG,1969,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.9,0.37
AFG,1970,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.409,0.37
AFG,1971,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.93,0.38
